participant,type,day,phase,percentage
31,simile,7,IV,0
31,simile,8,IV,0
31,simile,9,IV,22.3943662
31,simile,10,IV,0
31,simile,11,IV,0
31,simile,12,IV,0
31,simile,13,IV,0
31,simile,14,IV,0
31,simile,15,IV,0
31,simile,16,WD,0.13988809
31,simile,17,WD,0
31,simile,18,WD,0
31,simile,19,WD,0
31,simile,20,WD,0
32,simile,1,BL,3.149937001
32,simile,2,BL,7.026027592
32,simile,3,BL,0
32,simile,4,BL,0.011395579
32,simile,5,BL,0.42021113
32,simile,6,IV,32.28401762
32,simile,7,IV,1.049890811
32,simile,8,IV,28.21286222
32,simile,9,IV,0.122897801
32,simile,10,IV,1.269406393
32,simile,11,IV,6.30969031
32,simile,12,IV,0.041241973
32,simile,13,IV,0
32,simile,14,IV,20.37824054
32,simile,15,IV,2.060072338
32,simile,16,WD,2.481155779
32,simile,17,WD,0
32,simile,18,WD,18.14445097
32,simile,19,WD,0
32,simile,20,WD,
33,simile,1,BL,0
33,simile,2,BL,0.564649518
33,simile,3,BL,0.374531835
33,simile,4,BL,3.305663704
33,simile,5,BL,0.011098369
33,simile,6,IV,3.497073047
33,simile,7,IV,5.840964354
33,simile,8,IV,3.609177623
33,simile,9,IV,0
33,simile,10,IV,0
33,simile,11,IV,2.447409348
33,simile,12,IV,2.239722967
33,simile,13,IV,0
33,simile,14,IV,
33,simile,15,IV,0
33,simile,16,WD,
33,simile,17,WD,0
33,simile,18,WD,0
33,simile,19,WD,31.82795699
33,simile,20,WD,
35,simile,1,BL,22.0303763
35,simile,2,BL,35.81617647
35,simile,3,BL,75.781925
35,simile,4,BL,94.09134462
35,simile,5,BL,
35,simile,6,IV,
35,simile,7,IV,94.8523244
35,simile,8,IV,45.19577895
35,simile,9,IV,
35,simile,10,IV,
35,simile,11,IV,79.32751092
35,simile,12,IV,87.30559876
35,simile,13,IV,95.10410095
35,simile,14,IV,
35,simile,15,IV,
35,simile,16,WD,
35,simile,17,WD,
35,simile,18,WD,
35,simile,19,WD,
35,simile,20,WD,
36,simile,1,BL,7.056307912
36,simile,2,BL,1.263749122
36,simile,3,BL,26.76923077
36,simile,4,BL,
36,simile,5,BL,24.97769848
36,simile,6,IV,17.93103448
36,simile,7,IV,15.24568393
36,simile,8,IV,0
36,simile,9,IV,0.409626216
36,simile,10,IV,0.495166234
36,simile,11,IV,10.18776078
36,simile,12,IV,0
36,simile,13,IV,0
36,simile,14,IV,14.94221244
36,simile,15,IV,1.25534188
36,simile,16,WD,0
36,simile,17,WD,0
36,simile,18,WD,
36,simile,19,WD,0
36,simile,20,WD,
37,simile,1,BL,15.17528806
37,simile,2,BL,34.34014288
37,simile,3,BL,0.336500396
37,simile,4,BL,
37,simile,5,BL,0.321199143
37,simile,6,IV,14.74449133
37,simile,7,IV,7.030978072
37,simile,8,IV,6.869964909
37,simile,9,IV,15.49421193
37,simile,10,IV,8.106381279
37,simile,11,IV,
37,simile,12,IV,0
37,simile,13,IV,5.360824742
37,simile,14,IV,6.113145796
37,simile,15,IV,0
37,simile,16,WD,
37,simile,17,WD,
37,simile,18,WD,
37,simile,19,WD,
37,simile,20,WD,0
38,metaphorical,1,BL,74.42536328
38,metaphorical,2,BL,89.88437033
38,metaphorical,3,BL,62.92581549
38,metaphorical,4,BL,93.64390307
38,metaphorical,5,BL,94.04925616
38,metaphorical,6,IV,92.4904489
38,metaphorical,7,IV,92.34705228
38,metaphorical,8,IV,95.25333795
38,metaphorical,9,IV,99.82330421
38,metaphorical,10,IV,60.05701615
38,metaphorical,11,IV,50.69278548
38,metaphorical,12,IV,95.50760043
38,metaphorical,13,IV,87.5656436
38,metaphorical,14,IV,66.30207496
38,metaphorical,15,IV,72.22549597
38,metaphorical,16,WD,76.80566912
38,metaphorical,17,WD,93.32572349
38,metaphorical,18,WD,81.00466648
38,metaphorical,19,WD,82.92827504
38,metaphorical,20,WD,56.32582322
39,metaphorical,1,BL,44.56780333
39,metaphorical,2,BL,78.1644914
39,metaphorical,3,BL,
39,metaphorical,4,BL,0
39,metaphorical,5,BL,
39,metaphorical,6,IV,0
39,metaphorical,7,IV,
39,metaphorical,8,IV,
39,metaphorical,9,IV,
39,metaphorical,10,IV,0
39,metaphorical,11,IV,0
39,metaphorical,12,IV,
39,metaphorical,13,IV,0
39,metaphorical,14,IV,11.7260788
39,metaphorical,15,IV,0
39,metaphorical,16,WD,0
39,metaphorical,17,WD,0
39,metaphorical,18,WD,0
39,metaphorical,19,WD,0
39,metaphorical,20,WD,0
40,metaphorical,1,BL,44.56780333
40,metaphorical,2,BL,78.1644914
40,metaphorical,3,BL,
40,metaphorical,4,BL,0
40,metaphorical,5,BL,
40,metaphorical,6,IV,0
40,metaphorical,7,IV,
40,metaphorical,8,IV,
40,metaphorical,9,IV,
40,metaphorical,10,IV,0
40,metaphorical,11,IV,0
40,metaphorical,12,IV,
40,metaphorical,13,IV,0
40,metaphorical,14,IV,11.7260788
40,metaphorical,15,IV,0
40,metaphorical,16,WD,0
40,metaphorical,17,WD,0
40,metaphorical,18,WD,0
40,metaphorical,19,WD,0
40,metaphorical,20,WD,0
